央视,#genre#
CCTV-2 财经,http://112.101.78.50:9901/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://112.101.78.50:9901/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://112.101.78.50:9901/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://112.101.78.50:9901/tsfile/live/0005_1.m3u8
CCTV-6 电影,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://112.101.78.50:9901/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://112.101.78.50:9901/tsfile/live/0008_1.m3u8
CCTV-9 纪录,http://112.101.78.50:9901/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://112.101.78.50:9901/tsfile/live/0010_1.m3u8
CCTV-13 新闻,http://112.101.78.50:9901/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8
CETV-1,http://112.101.78.50:9901/tsfile/live/1003_1.m3u8

卫视,#genre#

安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226034/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8



北京卫视,http://bxny.667789.cn:55055/udp/229.58.190.172:5000
北京卫视,http://bxny.667789.cn:55055/udp/229.58.190.65:5000
湖南卫视,http://bxny.667789.cn:55055/udp/229.58.190.128:5000
湖南卫视,http://bxny.667789.cn:55055/udp/229.58.190.142:5000
东方卫视,http://bxny.667789.cn:55055/udp/229.58.190.144:5000
东方卫视,http://bxny.667789.cn:55055/udp/229.58.190.54:5000
四川卫视,http://bxny.667789.cn:55055/udp/229.58.190.38:5000
四川卫视,http://bxny.667789.cn:55055/udp/229.58.190.73:5000
天津卫视,http://bxny.667789.cn:55055/udp/229.58.190.161:5000
天津卫视,http://bxny.667789.cn:55055/udp/229.58.190.68:5000
安徽卫视,http://bxny.667789.cn:55055/udp/229.58.190.162:5000
安徽卫视,http://bxny.667789.cn:55055/udp/229.58.190.71:5000
山东卫视,http://bxny.667789.cn:55055/udp/229.58.190.160:5000
山东卫视,http://bxny.667789.cn:55055/udp/229.58.190.33:5000
广东卫视,http://bxny.667789.cn:55055/udp/229.58.190.53:5000
广东卫视,http://bxny.667789.cn:55055/udp/229.58.190.139:5000
广西卫视,http://bxny.667789.cn:55055/udp/229.58.190.145:5000
广西卫视,http://bxny.667789.cn:55055/udp/229.58.190.31:5000
江苏卫视,http://bxny.667789.cn:55055/udp/229.58.190.37:5000
江苏卫视,http://bxny.667789.cn:55055/udp/229.58.190.147:5000
江西卫视,http://bxny.667789.cn:55055/udp/229.58.190.208:5000
江西卫视,http://bxny.667789.cn:55055/udp/229.58.190.74:5000
河北卫视,http://bxny.667789.cn:55055/udp/229.58.190.209:5000
河北卫视,http://bxny.667789.cn:55055/udp/229.58.190.55:5000
河南卫视,http://bxny.667789.cn:55055/udp/229.58.190.103:5000
河南卫视,http://bxny.667789.cn:55055/udp/229.58.190.62:5000
浙江卫视,http://bxny.667789.cn:55055/udp/229.58.190.36:5000
浙江卫视,http://bxny.667789.cn:55055/udp/229.58.190.28:5000
海南卫视,http://bxny.667789.cn:55055/udp/229.58.190.25:5000
海南卫视,http://bxny.667789.cn:55055/udp/229.58.190.141:5000
深圳卫视,http://bxny.667789.cn:55055/udp/229.58.190.52:5000
深圳卫视,http://bxny.667789.cn:55055/udp/229.58.190.104:5000
湖北卫视,http://bxny.667789.cn:55055/udp/229.58.190.101:5000
湖北卫视,http://bxny.667789.cn:55055/udp/229.58.190.148:5000
山西卫视,http://bxny.667789.cn:55055/udp/229.58.190.84:5000
东南卫视,http://bxny.667789.cn:55055/udp/229.58.190.180:5000
东南卫视,http://bxny.667789.cn:55055/udp/229.58.190.168:5000
贵州卫视,http://bxny.667789.cn:55055/udp/229.58.190.100:5000
贵州卫视,http://bxny.667789.cn:55055/udp/229.58.190.143:5000
辽宁卫视,http://bxny.667789.cn:55055/udp/229.58.190.51:5000
辽宁卫视,http://bxny.667789.cn:55055/udp/229.58.190.146:5000
重庆卫视,http://bxny.667789.cn:55055/udp/229.58.190.67:5000
重庆卫视,http://bxny.667789.cn:55055/udp/229.58.190.27:5000
黑龙江卫视,http://bxny.667789.cn:55055/udp/229.58.190.150:5000
内蒙古卫视,http://bxny.667789.cn:55055/udp/229.58.190.183:5000
宁夏卫视,http://bxny.667789.cn:55055/udp/229.58.190.184:5000
陕西卫视,http://bxny.667789.cn:55055/udp/229.58.190.80:5000
甘肃卫视,http://bxny.667789.cn:55055/udp/229.58.190.185:5000
吉林卫视,http://bxny.667789.cn:55055/udp/229.58.190.214:5000
吉林卫视,http://bxny.667789.cn:55055/udp/229.58.190.140:5000
云南卫视,http://bxny.667789.cn:55055/udp/229.58.190.176:5000
青海卫视,http://bxny.667789.cn:55055/udp/229.58.190.149:5000
新疆卫视,http://bxny.667789.cn:55055/udp/229.58.190.179:5000
西藏卫视,http://bxny.667789.cn:55055/udp/229.58.190.177:5000
兵团卫视,http://bxny.667789.cn:55055/udp/229.58.190.178:5000
延边卫视,http://bxny.667789.cn:55055/udp/229.58.190.108:5000
大湾区卫视,http://bxny.667789.cn:55055/udp/229.58.190.115:5000
山东教育卫视,http://bxny.667789.cn:55055/udp/229.58.190.170:5000



黑龙江卫视,http://61.138.54.155:2233/hls/1/index.m3u8
吉林卫视,http://61.138.54.155:2233/hls/27/index.m3u8
西藏卫视,http://61.138.54.155:2233/hls/28/index.m3u8
兵团卫视,http://61.138.54.155:2233/hls/29/index.m3u8
新疆卫视,http://61.138.54.155:2233/hls/30/index.m3u8
贵州卫视,http://61.138.54.155:2233/hls/32/index.m3u8
东方卫视,http://61.138.54.155:2233/hls/34/index.m3u8
广西卫视,http://61.138.54.155:2233/hls/35/index.m3u8
辽宁卫视,http://61.138.54.155:2233/hls/36/index.m3u8
江苏卫视,http://61.138.54.155:2233/hls/37/index.m3u8
湖北卫视,http://61.138.54.155:2233/hls/39/index.m3u8
青海卫视,http://61.138.54.155:2233/hls/40/index.m3u8
内蒙古卫视,http://61.138.54.155:2233/hls/41/index.m3u8
重庆卫视,http://61.138.54.155:2233/hls/42/index.m3u8
东南卫视,http://61.138.54.155:2233/hls/43/index.m3u8
山东卫视,http://61.138.54.155:2233/hls/44/index.m3u8
山西卫视,http://61.138.54.155:2233/hls/45/index.m3u8
河南卫视,http://61.138.54.155:2233/hls/46/index.m3u8
宁夏卫视,http://61.138.54.155:2233/hls/47/index.m3u8
